id;image_url;title;description;keywords;category;board;board_id;status;created_at;posted_at;notes
1;https://sshamanello.ru/collages/аниме_01.jpg;4 мелодрамы, которые хочется смотреть запоем;"4 мелодрамы, которые хочется смотреть запоем. Фильмы в подборке: Жизнь сорокалетнего мужчины в другом мире, За небрежной молодой девушкой ухаживает бывший жених её сестры, Магическая битва: Казнь, История о служащем, который стал одним из четырёх Небесных царей, когда отправился в другой мир.
Напиши нашему кино-боту в Telegram, чтобы быстро найти фильмы под настроение: https://t.me/TopTrailer82Bot";фильмы,аниме,подборка,что посмотреть,кино на вечер;Фильмы;Фильмы на вечер;;pending;2026-02-03 15:29:08;;
2;https://sshamanello.ru/collages/документальный_01.jpg;4 мелодрамы для уютного вечера вдвоём;"4 мелодрамы для уютного вечера вдвоём. Фильмы в подборке: В этом весь Я: Инженеры, Yet another Conference 2025 AI Edition, Yandex Physical AI Conf 2025, Вторая конференция «Алиса, что нового?».
Напиши нашему кино-боту в Telegram, чтобы быстро найти фильмы под настроение: https://t.me/TopTrailer82Bot";фильмы,документальный,подборка,что посмотреть,кино на вечер;Фильмы;Фильмы на вечер;;pending;2026-02-03 15:29:08;;
3;https://sshamanello.ru/collages/документальный_02.jpg;4 мелодрамы, оставляющие тёплое послевкусие;"4 мелодрамы, оставляющие тёплое послевкусие. Фильмы в подборке: В этом весь Я: Инженеры, Yet another Conference 2025 AI Edition, Yandex Physical AI Conf 2025, Вторая конференция «Алиса, что нового?».
Напиши нашему кино-боту в Telegram, чтобы быстро найти фильмы под настроение: https://t.me/TopTrailer82Bot";фильмы,документальный,подборка,что посмотреть,кино на вечер;Фильмы;Фильмы на вечер;;pending;2026-02-03 15:29:08;;
4;https://sshamanello.ru/collages/драма_01.jpg;4 мелодрамы, которые цепляют с первых минут;"4 мелодрамы, которые цепляют с первых минут. Фильмы в подборке: Сварить медведя, , Бреслау, Амстердамская империя.
Напиши нашему кино-боту в Telegram, чтобы быстро найти фильмы под настроение: https://t.me/TopTrailer82Bot";фильмы,драма,подборка,что посмотреть,кино на вечер;Фильмы;Фильмы на вечер;;pending;2026-02-03 15:29:08;;
5;https://sshamanello.ru/collages/драма_02.jpg;4 мелодрамы, чтобы погрузиться в чувства по полной;"4 мелодрамы, чтобы погрузиться в чувства по полной. Фильмы в подборке: Сварить медведя, , Бреслау, Амстердамская империя.
Напиши нашему кино-боту в Telegram, чтобы быстро найти фильмы под настроение: https://t.me/TopTrailer82Bot";фильмы,драма,подборка,что посмотреть,кино на вечер;Фильмы;Фильмы на вечер;;pending;2026-02-03 15:29:08;;
6;https://sshamanello.ru/collages/мелодрама_01.jpg;4 детектива, от которых невозможно оторваться;"4 детектива, от которых невозможно оторваться. Фильмы в подборке: Любовь в облаках, Струящаяся над рекой луна, Папа для всех, Пиршество в Юнъане.
Напиши нашему кино-боту в Telegram, чтобы быстро найти фильмы под настроение: https://t.me/TopTrailer82Bot";фильмы,мелодрама,подборка,что посмотреть,кино на вечер;Фильмы;Фильмы на вечер;;pending;2026-02-03 15:29:08;;
7;https://sshamanello.ru/collages/мелодрама_02.jpg;4 комедии, чтобы поднять себе настроение;"4 комедии, чтобы поднять себе настроение. Фильмы в подборке: Битва за любовь, Неприятно познакомиться, Ведь мы семья, Четвёртая революция любви.
Напиши нашему кино-боту в Telegram, чтобы быстро найти фильмы под настроение: https://t.me/TopTrailer82Bot";фильмы,мелодрама,подборка,что посмотреть,кино на вечер;Фильмы;Фильмы на вечер;;pending;2026-02-03 15:29:08;;
8;https://sshamanello.ru/collages/мелодрама_03.jpg;4 комедии, которые реально смешные;"4 комедии, которые реально смешные. Фильмы в подборке: Любовь в облаках, Полночное возвращение, Струящаяся над рекой луна, Папа для всех.
Напиши нашему кино-боту в Telegram, чтобы быстро найти фильмы под настроение: https://t.me/TopTrailer82Bot";фильмы,мелодрама,подборка,что посмотреть,кино на вечер;Фильмы;Фильмы на вечер;;pending;2026-02-03 15:29:08;;
9;https://sshamanello.ru/collages/мелодрама_04.jpg;4 комедии на вечер, когда хочется просто расслабиться;"4 комедии на вечер, когда хочется просто расслабиться. Фильмы в подборке: Пиршество в Юнъане, Битва за любовь, Неприятно познакомиться, Ведь мы семья.
Напиши нашему кино-боту в Telegram, чтобы быстро найти фильмы под настроение: https://t.me/TopTrailer82Bot";фильмы,мелодрама,подборка,что посмотреть,кино на вечер;Фильмы;Фильмы на вечер;;pending;2026-02-03 15:29:08;;
10;https://sshamanello.ru/collages/триллер_01.jpg;4 комедии, которые заставят улыбаться до конца;"4 комедии, которые заставят улыбаться до конца. Фильмы в подборке: Стеклянная кукушка, Наказание, , Женщина в цепях.
Напиши нашему кино-боту в Telegram, чтобы быстро найти фильмы под настроение: https://t.me/TopTrailer82Bot";фильмы,триллер,подборка,что посмотреть,кино на вечер;Фильмы;Фильмы на вечер;;pending;2026-02-03 15:29:08;;
